FlowCell Text Data File: 230207_sample5.csv
Software Version: 2.00Q
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.207
Date: 2023-02-07
Time: 17:27:02
User: Riyaz Shah

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 38 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2.0
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 10
Distance/fraction: 7.83 mm
Start Distance: 0.00 mm
Volume/fraction: 1.117 ml
Data Samples/mm: 22.94

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 218 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 10 ms
Sample A Zero: 466075
Source A Zero: 105609.6

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
479199.238, 100957.405, 13.80, -0.163882, , 
481040.286, 100967.976, 13.85, -0.172276, , 
481438.024, 101023.833, 13.89, -0.172891, , 
483673.690, 101045.262, 13.93, -0.182840, , 
484061.095, 101007.286, 13.97, -0.185488, , 
485619.548, 100957.571, 14.01, -0.193829, , 
487085.833, 100944.333, 14.06, -0.200909, , 
488179.024, 100953.810, 14.10, -0.205743, , 
488104.857, 100873.024, 14.14, -0.207203, , 
488715.357, 100837.952, 14.18, -0.210798, , 
489790.548, 100893.595, 14.23, -0.214502, , 
490631.738, 100920.762, 14.27, -0.217758, , 
491639.190, 101025.643, 14.31, -0.220037, , 
491530.024, 101007.167, 14.35, -0.219949, , 
492711.357, 101039.119, 14.39, -0.224639, , 
493618.000, 100949.619, 14.44, -0.230771, , 
494304.024, 101022.643, 14.48, -0.232269, , 
494880.000, 101053.762, 14.52, -0.234197, , 
495789.976, 101084.905, 14.56, -0.237637, , 
495845.762, 101030.429, 14.60, -0.239104, , 
496884.619, 100967.357, 14.65, -0.245219, , 
497616.452, 100954.429, 14.69, -0.248819, , 
497542.762, 101003.905, 14.73, -0.247383, , 
498172.167, 101004.000, 14.77, -0.250226, , 
499813.690, 100914.452, 14.82, -0.259626, , 
500912.357, 100953.881, 14.86, -0.263688, , 
501427.143, 101046.571, 14.90, -0.263934, , 
501910.190, 101103.738, 14.94, -0.264828, , 
502652.071, 101064.571, 14.99, -0.269024, , 
503125.238, 101010.143, 15.03, -0.272354, , 
503769.738, 101010.286, 15.07, -0.275232, , 
503771.714, 100989.381, 15.11, -0.275706, , 
504388.214, 100966.905, 15.16, -0.278960, , 
505474.500, 101037.071, 15.20, -0.282238, , 
506537.762, 101105.143, 15.24, -0.285451, , 
506413.071, 101079.286, 15.28, -0.285472, , 
506443.333, 101028.857, 15.32, -0.286730, , 
506747.452, 101046.619, 15.37, -0.287685, , 
507500.738, 101043.024, 15.41, -0.291108, , 
508138.476, 101061.310, 15.45, -0.293527, , 
508462.167, 101042.238, 15.49, -0.295385, , 
508644.595, 101054.429, 15.53, -0.295921, , 
509078.524, 101039.929, 15.58, -0.298163, , 
509372.929, 101002.929, 15.62, -0.300288, , 
509622.667, 101017.833, 15.66, -0.301059, 2, 1.114
510108.786, 100908.524, 15.70, -0.305641, , 
510334.143, 100950.667, 15.75, -0.305695, , 
511131.310, 100993.286, 15.79, -0.308258, , 
512069.048, 100990.952, 15.83, -0.312435, , 
512228.405, 101003.952, 15.87, -0.312846, , 
513066.500, 101011.405, 15.91, -0.316359, , 
513082.690, 101002.667, 15.96, -0.316624, , 
514054.286, 101040.476, 16.00, -0.320040, , 
515030.167, 101069.929, 16.04, -0.323652, , 
514941.810, 101051.833, 16.08, -0.323669, , 
514706.167, 101051.262, 16.12, -0.322651, , 
515190.024, 101004.524, 16.17, -0.325807, , 
516220.524, 101056.571, 16.21, -0.329145, , 
516512.548, 101055.524, 16.25, -0.330441, , 
516819.857, 101054.738, 16.29, -0.331797, , 
516604.738, 101062.310, 16.34, -0.330691, , 
517210.786, 101108.024, 16.38, -0.332312, , 
518281.024, 101062.500, 16.42, -0.337977, , 
517529.214, 101017.548, 16.46, -0.335712, , 
517049.524, 101053.738, 16.50, -0.332819, , 
518372.619, 101089.333, 16.55, -0.337778, , 
518584.762, 101030.738, 16.59, -0.340003, , 
518869.310, 101124.524, 16.63, -0.339150, , 
518667.786, 101032.929, 16.67, -0.340315, , 
520246.595, 100900.929, 16.72, -0.350097, , 
520440.429, 101072.762, 16.76, -0.347106, , 
521362.119, 101099.810, 16.80, -0.350485, , 
521095.929, 101055.571, 16.84, -0.350321, , 
521646.167, 100996.976, 16.89, -0.354001, , 
521716.119, 101014.690, 16.93, -0.353909, , 
522517.667, 101051.024, 16.97, -0.356554, , 
522822.452, 101094.048, 17.01, -0.356908, , 
522673.119, 101075.976, 17.06, -0.356668, , 
523270.143, 101061.071, 17.10, -0.359569, , 
523642.476, 101033.143, 17.14, -0.361792, , 
523147.952, 101086.857, 17.18, -0.358469, , 
522616.571, 101078.405, 17.22, -0.356370, , 
522556.357, 101006.357, 17.27, -0.357716, , 
521403.476, 101006.357, 17.31, -0.352745, , 
521500.952, 101006.357, 17.35, -0.353166, , 
522164.881, 101042.167, 17.39, -0.355231, , 
523914.500, 101042.167, 17.44, -0.362759, , 
525419.976, 101042.167, 17.48, -0.369217, , 
525986.190, 101042.167, 17.52, -0.371641, , 
525190.214, 101042.167, 17.56, -0.368232, , 
524942.571, 101042.167, 17.61, -0.367171, , 
525807.357, 101059.119, 17.65, -0.370498, , 
526883.571, 101065.452, 17.69, -0.374958, , 
526809.619, 101074.619, 17.73, -0.374438, , 
526074.690, 101028.786, 17.78, -0.372317, , 
526587.333, 101060.786, 17.82, -0.373796, , 
527196.929, 101058.190, 17.86, -0.376458, , 
527521.024, 101090.095, 17.90, -0.377131, , 
527482.357, 101082.429, 17.94, -0.377136, , 
527357.143, 101074.548, 17.99, -0.376777, , 
527675.667, 101078.405, 18.03, -0.378050, , 
527783.714, 101065.905, 18.07, -0.378790, , 
527912.595, 101062.119, 18.11, -0.379423, , 
527954.024, 101064.905, 18.16, -0.379538, , 
527823.690, 101021.381, 18.20, -0.379952, , 
527642.143, 101025.500, 18.24, -0.379086, , 
528673.619, 101075.071, 18.28, -0.382377, , 
528610.238, 101103.643, 18.32, -0.381471, , 
528573.857, 101092.738, 18.36, -0.381559, , 
528101.357, 101039.429, 18.41, -0.380733, , 
528256.000, 101020.714, 18.45, -0.381809, , 
528398.500, 101007.095, 18.49, -0.382719, , 
528768.143, 101010.881, 18.53, -0.384209, , 
528120.738, 100994.381, 18.58, -0.381819, , 
528132.310, 101008.810, 18.62, -0.381547, , 
528885.524, 101027.905, 18.66, -0.384329, , 
529100.905, 101025.952, 18.70, -0.385289, , 
529181.571, 101056.905, 18.75, -0.384942, , 
529023.357, 101037.762, 18.79, -0.384696, , 
530009.381, 101037.976, 18.83, -0.388882, , 
